               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.011071,           0.0022586,                   0,             0.99997,             0.99931,               0.995,             0.95154,           0.0056345,           0.0012865,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.011185,           0.0022547,                   0,             0.99998,             0.99931,               0.995,             0.95178,           0.0056361,           0.0012757,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.011004,           0.0022464,                   0,             0.99996,             0.99931,               0.995,              0.9543,           0.0055607,           0.0012624,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.010969,           0.0022407,                   0,             0.99993,             0.99931,               0.995,             0.95497,           0.0055402,           0.0012576,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.010798,           0.0021838,                   0,             0.99995,             0.99931,               0.995,             0.95661,           0.0054808,           0.0012499,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.010568,           0.0021505,                   0,             0.99997,             0.99931,               0.995,             0.95754,           0.0053836,           0.0012408,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.010514,           0.0021564,                   0,             0.99997,             0.99931,               0.995,             0.95921,           0.0053305,           0.0012291,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.010317,           0.0021254,                   0,             0.99996,             0.99931,               0.995,             0.95917,           0.0052636,           0.0012154,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.010422,           0.0021455,                   0,             0.99993,             0.99931,               0.995,              0.9604,           0.0052302,           0.0012089,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.010208,           0.0021235,                   0,             0.99996,             0.99931,               0.995,             0.95977,            0.005194,           0.0012015,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.010168,           0.0021109,                   0,             0.99996,             0.99931,               0.995,             0.96013,           0.0051554,           0.0011952,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0099185,            0.002076,                   0,             0.99993,             0.99931,               0.995,             0.95999,           0.0050983,           0.0011884,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.010047,           0.0020964,                   0,             0.99994,             0.99931,               0.995,             0.96225,           0.0050835,           0.0011852,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0098009,           0.0020531,                   0,             0.99995,             0.99931,               0.995,             0.96198,           0.0050506,            0.001176,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0097414,           0.0020217,                   0,             0.99995,             0.99931,               0.995,             0.96289,           0.0050097,           0.0011698,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0095589,           0.0020268,                   0,             0.99995,             0.99931,               0.995,             0.96404,           0.0049784,           0.0011616,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0096355,           0.0020336,                   0,             0.99995,             0.99931,               0.995,             0.96543,           0.0049343,           0.0011547,                   0,            0.003268,            0.003268,            0.003268
                  70,           0.0095378,           0.0019963,                   0,             0.99995,             0.99931,               0.995,             0.96515,           0.0049062,           0.0011491,                   0,            0.003169,            0.003169,            0.003169
                  71,           0.0094093,           0.0019933,                   0,             0.99995,             0.99931,               0.995,             0.96644,           0.0048723,            0.001142,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.009304,           0.0019574,                   0,             0.99994,             0.99931,               0.995,             0.96631,           0.0048456,           0.0011365,                   0,            0.002971,            0.002971,            0.002971
                  73,           0.0093033,           0.0019691,                   0,             0.99996,             0.99931,               0.995,             0.96688,           0.0048296,           0.0011315,                   0,            0.002872,            0.002872,            0.002872
